fdc_id,description,food_category,data_type,brand_owner,ingredients_text,dedup_key,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,vitamin_b12_mcg,vitamin_d_mcg,zinc_mg,sodium_mg,potassium_mg,magnesium_mg,omega3_g
2768188,"Alaska Pollock, raw",,Foundation,,,"alaska pollock, raw|",,,,,,,,,,,,,,
2262074,"Almond butter, creamy",,Foundation,,,"almond butter, creamy|",,,,,,,,,,,,,,
2257045,"Almond milk, unsweetened, plain, refrigerated",,Foundation,,,"almond milk, unsweetened, plain, refrigerated|",,,,,,,,,,,,,,
1999631,"Almond milk, unsweetened, plain, shelf stable",,Foundation,,,"almond milk, unsweetened, plain, shelf stable|",,,,,,,,,,,,,,
2747652,"Anchovies, canned in olive oil, with salt, drained",,Foundation,,,"anchovies, canned in olive oil, with salt, drained|",,,,,,,,,,,,,,
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",,Foundation,,,"apple juice, with added vitamin c, from concentrate, shelf stable|",,,,,,,,,,,,,,
1750340,"Apples, fuji, with skin, raw",,Foundation,,,"apples, fuji, with skin, raw|",,,,,,,,,,,,,,
1750341,"Apples, gala, with skin, raw",,Foundation,,,"apples, gala, with skin, raw|",,,,,,,,,,,,,,
1750342,"Apples, granny smith, with skin, raw",,Foundation,,,"apples, granny smith, with skin, raw|",,,,,,,,,,,,,,
1750343,"Apples, honeycrisp, with skin, raw",,Foundation,,,"apples, honeycrisp, with skin, raw|",,,,,,,,,,,,,,
1750339,"Apples, red delicious, with skin, raw",,Foundation,,,"apples, red delicious, with skin, raw|",,,,,,,,,,,,,,
2346414,"Applesauce, unsweetened, with added vitamin C",,Foundation,,,"applesauce, unsweetened, with added vitamin c|",,,,,,,,,,,,,,
2710815,"Apricot, with skin, raw",,Foundation,,,"apricot, with skin, raw|",,,,,,,,,,,,,,
2710822,"Arugula, baby, raw",,Foundation,,,"arugula, baby, raw|",,,,,,,,,,,,,,
2710823,"Asparagus, green, raw",,Foundation,,,"asparagus, green, raw|",,,,,,,,,,,,,,
2710824,"Avocado, Hass, peeled, raw",,Foundation,,,"avocado, hass, peeled, raw|",,,,,,,,,,,,,,
2758982,"Baked beans, Original, canned, with pork",,Foundation,,,"baked beans, original, canned, with pork|",,,,,,,,,,,,,,
1105073,"Bananas, overripe, raw",,Foundation,,,"bananas, overripe, raw|",,,,,,,,,,,,,,
1105314,"Bananas, ripe and slightly ripe, raw",,Foundation,,,"bananas, ripe and slightly ripe, raw|",,,,,,,,,,,,,,
2758983,"Beans, baked, canned, vegetarian",,Foundation,,,"beans, baked, canned, vegetarian|",,,,,,,,,,,,,,
2644285,"Beans, black, canned, sodium added, drained and rinsed",,Foundation,,,"beans, black, canned, sodium added, drained and rinsed|",,,,,,,,,,,,,,
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",,Foundation,,,"beans, cannellini, canned, sodium added, drained and rinsed|",,,,,,,,,,,,,,
2644281,"Beans, cannellini, dry",,Foundation,,,"beans, cannellini, dry|",,,,,,,,,,,,,,
747444,"Beans, Dry, Black (0% moisture)",,Foundation,,,"beans, dry, black (0% moisture)|",,,,,,,,,,,,,,
747433,"Beans, Dry, Brown (0% moisture)",,Foundation,,,"beans, dry, brown (0% moisture)|",,,,,,,,,,,,,,
747436,"Beans, Dry, Carioca (0% moisture)",,Foundation,,,"beans, dry, carioca (0% moisture)|",,,,,,,,,,,,,,
747437,"Beans, Dry, Cranberry (0% moisture)",,Foundation,,,"beans, dry, cranberry (0% moisture)|",,,,,,,,,,,,,,
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",,Foundation,,,"beans, dry, dark red kidney (0% moisture)|",,,,,,,,,,,,,,
747432,"Beans, Dry, Flor de Mayo (0% moisture)",,Foundation,,,"beans, dry, flor de mayo (0% moisture)|",,,,,,,,,,,,,,
747446,"Beans, Dry, Great Northern (0% moisture)",,Foundation,,,"beans, dry, great northern (0% moisture)|",,,,,,,,,,,,,,
747438,"Beans, Dry, Light Red Kidney (0% moisture)",,Foundation,,,"beans, dry, light red kidney (0% moisture)|",,,,,,,,,,,,,,
747435,"Beans, Dry, Light Tan (0% moisture)",,Foundation,,,"beans, dry, light tan (0% moisture)|",,,,,,,,,,,,,,
747430,"Beans, Dry, Medium Red (0% moisture)",,Foundation,,,"beans, dry, medium red (0% moisture)|",,,,,,,,,,,,,,
747441,"Beans, Dry, Navy (0% moisture)",,Foundation,,,"beans, dry, navy (0% moisture)|",,,,,,,,,,,,,,
747439,"Beans, Dry, Pink (0% moisture)",,Foundation,,,"beans, dry, pink (0% moisture)|",,,,,,,,,,,,,,
747445,"Beans, Dry, Pinto (0% moisture)",,Foundation,,,"beans, dry, pinto (0% moisture)|",,,,,,,,,,,,,,
747431,"Beans, Dry, Red (0% moisture)",,Foundation,,,"beans, dry, red (0% moisture)|",,,,,,,,,,,,,,
747443,"Beans, Dry, Small Red (0% moisture)",,Foundation,,,"beans, dry, small red (0% moisture)|",,,,,,,,,,,,,,
747442,"Beans, Dry, Small White (0% moisture)",,Foundation,,,"beans, dry, small white (0% moisture)|",,,,,,,,,,,,,,
747434,"Beans, Dry, Tan (0% moisture)",,Foundation,,,"beans, dry, tan (0% moisture)|",,,,,,,,,,,,,,
2644294,"Beans, great northern, canned, sodium added, drained and rinsed",,Foundation,,,"beans, great northern, canned, sodium added, drained and rinsed|",,,,,,,,,,,,,,
